destination_id,name,district,category,climate_type,crowd_level,rating,best_season,air_quality_index,latitude,longitude
50,Mayyanad Beach,Kollam,Beach,Tropical,Low,4.1,Sep-May,36,8.8333,76.6333
51,Rameshwara Temple,Kollam,Temple,Tropical,Moderate,4.2,Oct-Mar,39,9.0167,76.6333
52,Oachira Temple,Kollam,Temple,Tropical,High,4.4,Oct-Mar,42,9.1333,76.5167
53,Kottarakkara Ganapathy Temple,Kollam,Temple,Tropical,Moderate,4.3,Oct-Mar,40,9.0167,76.7667
54,Kulathupuzha Sastha Temple,Kollam,Temple,Tropical,Moderate,4.2,Oct-Mar,34,8.9000,77.0500
55,Aryankavu Temple,Kollam,Temple,Tropical,Low,4.1,Oct-Mar,33,8.9833,77.1500
56,Achankovil River,Kollam,River,Tropical,Low,4.3,Oct-Mar,32,9.0000,76.9833
57,Shenduruny Wildlife Sanctuary,Kollam,Wildlife,Tropical,Moderate,4.4,Oct-Mar,31,8.8667,77.2167
58,Munroe Island,Kollam,Island,Tropical,Moderate,4.3,Oct-Mar,38,8.9833,76.6167
59,Paravur Lake,Kollam,Lake,Tropical,Moderate,4.2,Oct-Mar,37,8.8000,76.6667
60,Neendakara Port,Kollam,Port,Tropical,Moderate,4.1,Oct-Mar,44,8.9333,76.5333
61,Thirunakkara Mahadeva Temple,Kollam,Temple,Tropical,Moderate,4.3,Oct-Mar,41,9.0000,76.5667
62,Punalur Suspension Bridge,Kollam,Heritage,Tropical,Moderate,4.4,Oct-Mar,39,9.0167,76.9167
63,Kumbhavurutty Waterfalls,Kollam,Waterfall,Tropical,Moderate,4.3,Jun-Jan,29,8.9833,77.1667
64,Alumkadavu,Kollam,Heritage,Tropical,Low,4.2,Oct-Mar,36,9.0333,76.5833
65,Chavara Beach,Kollam,Beach,Tropical,Low,4.1,Sep-May,35,8.9833,76.5333
66,Velinalloor,Kollam,Village,Tropical,Low,4.0,Oct-Mar,38,8.8667,76.7667
67,Kottukal Cave Temple,Kollam,Heritage,Tropical,Low,4.2,Oct-Mar,34,8.8500,76.8500
68,Polachira Wetlands,Kollam,Wetland,Tropical,Low,4.1,Oct-Mar,33,8.9667,76.7000
69,Azheekal Beach Kollam,Kollam,Beach,Tropical,Low,4.2,Sep-May,36,9.0167,76.5167
70,Pattazhi Devi Temple,Kollam,Temple,Tropical,Moderate,4.3,Oct-Mar,38,9.0333,76.8000
71,Ochira Parabrahma Temple,Kollam,Temple,Tropical,High,4.5,Oct-Mar,41,9.1333,76.5167
72,Mahavishnu Temple Thiruvithamcode,Kollam,Temple,Tropical,Low,4.2,Oct-Mar,35,8.2500,77.1833
73,St Thomas Fort Tangasseri,Kollam,Fort,Tropical,Moderate,4.3,Oct-Mar,40,8.8833,76.5667
74,Kallada River,Kollam,River,Tropical,Low,4.1,Oct-Mar,34,9.0000,76.6667
75,Vellimon Lake,Kollam,Lake,Tropical,Low,4.0,Oct-Mar,37,8.9333,76.6333
76,Thazhathangady Mosque,Kollam,Mosque,Tropical,Moderate,4.2,Oct-Mar,39,8.9167,76.6000
77,Sabarimala Temple,Pathanamthitta,Temple,Tropical,Very High,4.8,Nov-Jan,28,9.4333,77.0667
78,Perunthenaruvi Waterfalls,Pathanamthitta,Waterfall,Tropical,High,4.4,Jun-Jan,30,9.4167,76.8833
79,Gavi,Pathanamthitta,Eco Tourism,Hill Station,Moderate,4.6,Oct-Mar,26,9.4333,77.1667
80,Konni Elephant Camp,Pathanamthitta,Wildlife,Tropical,Moderate,4.3,Oct-Mar,35,9.2167,76.8500
81,Aranmula Parthasarathy Temple,Pathanamthitta,Temple,Tropical,High,4.5,Dec-Jan,38,9.3333,76.6833
82,Parumala Church,Pathanamthitta,Church,Tropical,High,4.5,Oct-Mar,40,9.3333,76.6167
83,Malayalapuzha Temple,Pathanamthitta,Temple,Tropical,Moderate,4.3,Oct-Mar,36,9.2667,76.7833
84,Kakki Dam,Pathanamthitta,Dam,Hill Station,Low,4.2,Oct-Mar,24,9.3000,77.1667
85,Kakki Reservoir,Pathanamthitta,Reservoir,Hill Station,Low,4.3,Oct-Mar,23,9.3000,77.1667
86,Pamba River,Pathanamthitta,River,Tropical,Moderate,4.2,Oct-Mar,32,9.3500,76.7500
87,Pandalam Palace,Pathanamthitta,Palace,Tropical,Moderate,4.2,Oct-Mar,39,9.2167,76.6833
88,Charalkunnu,Pathanamthitta,Hill,Hill Station,Low,4.3,Sep-May,31,9.3500,76.8333
89,Kakki-Anathodu Dams,Pathanamthitta,Dam,Hill Station,Low,4.2,Oct-Mar,25,9.3167,77.1667
90,Thriveni Sangam,Pathanamthitta,Religious Site,Tropical,High,4.5,Nov-Jan,34,9.4167,77.0667
91,Kadammanitta Devi Temple,Pathanamthitta,Temple,Tropical,Moderate,4.3,Feb-Mar,37,9.3167,76.7667
92,Achankovil Temple,Pathanamthitta,Temple,Tropical,Moderate,4.2,Oct-Mar,33,9.0833,76.9833
93,Manjinikkara Church,Pathanamthitta,Church,Tropical,Moderate,4.4,Oct-Mar,36,9.2667,76.7833
94,Moozhiyar Dam,Pathanamthitta,Dam,Hill Station,Low,4.1,Oct-Mar,27,9.3500,77.0167
95,Anathode Dam,Pathanamthitta,Dam,Hill Station,Low,4.2,Oct-Mar,24,9.3000,77.1667
96,Kakki-Anathodu Viewpoint,Pathanamthitta,Viewpoint,Hill Station,Low,4.4,Oct-Mar,26,9.3167,77.1667
97,Kakki Reservoir Forest Area,Pathanamthitta,Forest,Hill Station,Low,4.2,Oct-Mar,22,9.3000,77.1667
98,Chandanapally Church,Pathanamthitta,Church,Tropical,Moderate,4.2,Oct-Mar,35,9.1667,76.7333
99,Kakki Forest Range,Pathanamthitta,Forest,Hill Station,Low,4.3,Oct-Mar,24,9.3000,77.1500
100,Periyar Tiger Reserve Sabarimala Sector,Pathanamthitta,Wildlife,Hill Station,Moderate,4.5,Oct-Mar,27,9.4167,77.1333
101,Pandalam Mahadeva Temple,Pathanamthitta,Temple,Tropical,Moderate,4.4,Oct-Mar,38,9.2167,76.6833
102,Konni Forest Division,Pathanamthitta,Forest,Tropical,Low,4.1,Oct-Mar,33,9.2167,76.8500
103,Alappuzha Beach,Alappuzha,Beach,Tropical,High,4.4,Sep-May,41,9.4833,76.3167
104,Alappuzha Lighthouse,Alappuzha,Lighthouse,Tropical,Moderate,4.3,Sep-May,42,9.4833,76.3167
105,Vembanad Lake,Alappuzha,Lake,Tropical,High,4.6,Oct-Mar,38,9.5833,76.4167
106,Kuttanad,Alappuzha,Backwaters,Tropical,High,4.7,Oct-Mar,37,9.3333,76.4167
107,Kumarakom Bird Sanctuary,Alappuzha,Bird Sanctuary,Tropical,High,4.5,Nov-Feb,35,9.6167,76.4333
108,Pathiramanal Island,Alappuzha,Island,Tropical,Moderate,4.4,Oct-Mar,34,9.6167,76.3833
109,Marari Beach,Alappuzha,Beach,Tropical,Moderate,4.5,Sep-May,36,9.6000,76.3167
110,Ambalappuzha Sree Krishna Temple,Alappuzha,Temple,Tropical,High,4.5,Oct-Mar,43,9.3833,76.3667
111,Karumadi Kuttan,Alappuzha,Heritage,Tropical,Moderate,4.2,Oct-Mar,40,9.3333,76.4333
112,Mullakkal Rajarajeswari Temple,Alappuzha,Temple,Tropical,High,4.4,Oct-Mar,42,9.4833,76.3333
113,Arthunkal Church,Alappuzha,Church,Tropical,High,4.4,Jan-Feb,39,9.4333,76.3167
114,Edathua Church,Alappuzha,Church,Tropical,High,4.5,Oct-Mar,38,9.3667,76.4667
115,Krishnapuram Palace,Alappuzha,Palace,Tropical,Moderate,4.3,Oct-Mar,37,9.1500,76.5000
116,Mannarasala Temple,Alappuzha,Temple,Tropical,Moderate,4.4,Oct-Mar,41,9.3167,76.4500
117,Thottappally Beach,Alappuzha,Beach,Tropical,Low,4.2,Sep-May,35,9.3167,76.3833
118,Punnamada Lake,Alappuzha,Lake,Tropical,High,4.5,Oct-Mar,39,9.4167,76.3667
119,Champakulam Church,Alappuzha,Church,Tropical,Moderate,4.3,Oct-Mar,38,9.4000,76.4167
120,Chavara Bhavan,Alappuzha,Pilgrim Site,Tropical,Moderate,4.2,Oct-Mar,37,9.3500,76.3833
121,Kayamkulam Lake,Alappuzha,Lake,Tropical,Moderate,4.3,Oct-Mar,36,9.1667,76.5000
122,International Coir Museum,Alappuzha,Museum,Tropical,Moderate,4.1,Oct-Mar,44,9.4833,76.3333
123,Thumpoly Beach,Alappuzha,Beach,Tropical,Low,4.2,Sep-May,37,9.5333,76.3167
124,Andhakaranazhi Beach,Alappuzha,Beach,Tropical,Moderate,4.3,Sep-May,36,9.7333,76.2833
125,Chettikulangara Devi Temple,Alappuzha,Temple,Tropical,High,4.5,Feb-Mar,42,9.2333,76.4833
126,Haripad Subrahmanya Temple,Alappuzha,Temple,Tropical,High,4.4,Oct-Mar,41,9.2833,76.4667
127,Revi Karunakaran Museum,Alappuzha,Museum,Tropical,Moderate,4.4,Oct-Mar,40,9.4833,76.3167
128,Thanneermukkom Bund,Alappuzha,Dam Structure,Tropical,Moderate,4.2,Oct-Mar,36,9.6667,76.3833
129,Veliyanad,Alappuzha,Village,Tropical,Low,4.0,Oct-Mar,35,9.5333,76.4167
130,Kainakary,Alappuzha,Backwaters,Tropical,Low,4.3,Oct-Mar,34,9.4833,76.3667
131,Kayamkulam Kayal,Alappuzha,Backwater,Tropical,Moderate,4.2,Oct-Mar,37,9.1667,76.4833
132,Kumarakom,Kottayam,Backwaters,Tropical,High,4.7,Oct-Mar,36,9.6167,76.4333
133,Ilaveezhapoonchira,Kottayam,Hill,Hill Station,Moderate,4.5,Sep-May,29,9.8333,76.7667
134,Marmala Waterfalls,Kottayam,Waterfall,Hill Station,Moderate,4.4,Jun-Jan,31,9.7833,76.7667
135,Ettumanoor Mahadeva Temple,Kottayam,Temple,Tropical,High,4.6,Oct-Mar,43,9.6667,76.5667
136,Vaikom Mahadeva Temple,Kottayam,Temple,Tropical,High,4.6,Oct-Mar,42,9.7667,76.4000
137,Thirunakkara Mahadeva Temple,Kottayam,Temple,Tropical,High,4.5,Oct-Mar,44,9.5833,76.5167
138,St Marys Church Manarcad,Kottayam,Church,Tropical,High,4.4,Sep-Oct,39,9.5833,76.5500
139,St George Orthodox Church Puthuppally,Kottayam,Church,Tropical,High,4.5,Oct-Mar,40,9.5667,76.5667
140,Vagamon,Kottayam,Hill,Hill Station,High,4.7,Sep-May,28,9.6833,76.9167
141,Poonjar Palace,Kottayam,Palace,Tropical,Moderate,4.2,Oct-Mar,38,9.6833,76.7500
142,Illikkal Kallu,Kottayam,Hill,Hill Station,Moderate,4.6,Sep-May,30,9.7500,76.9000
143,Aruvikkuzhi Waterfalls,Kottayam,Waterfall,Hill Station,Moderate,4.3,Jun-Jan,32,9.6333,76.7833
144,Vembanad Backwaters,Kottayam,Backwaters,Tropical,High,4.6,Oct-Mar,37,9.5833,76.4167
145,Kottayam Cheriapally,Kottayam,Church,Tropical,Moderate,4.3,Oct-Mar,41,9.5833,76.5167
146,Panachikad Saraswathi Temple,Kottayam,Temple,Tropical,Moderate,4.2,Oct-Mar,39,9.5667,76.5500
147,Bharananganam Church,Kottayam,Church,Tropical,High,4.5,Oct-Mar,38,9.7000,76.7333
148,Thangal Hill,Kottayam,Hill,Hill Station,Low,4.3,Sep-May,33,9.7833,76.9500
149,Malarikkal,Kottayam,Scenic Spot,Tropical,Moderate,4.4,Sep-Nov,34,9.5500,76.4833
150,Kumarakom Backwaters,Kottayam,Backwaters,Tropical,High,4.7,Oct-Mar,36,9.6167,76.4333
151,Aymanam,Kottayam,Village,Tropical,Low,4.1,Oct-Mar,37,9.6000,76.5167
152,Pazhayangadi Mosque Kottayam,Kottayam,Mosque,Tropical,Moderate,4.2,Oct-Mar,38,9.5833,76.5167
153,Pala,Kottayam,Town,Tropical,Moderate,4.0,Oct-Mar,40,9.7167,76.6833
154,Erattupetta,Kottayam,Town,Tropical,Moderate,4.0,Oct-Mar,39,9.6833,76.7833
155,Kuravilangad Church,Kottayam,Church,Tropical,High,4.4,Oct-Mar,38,9.7500,76.5667
156,Kaduthuruthy Mahadeva Temple,Kottayam,Temple,Tropical,Moderate,4.3,Oct-Mar,41,9.7667,76.5167
157,Meenachil River,Kottayam,River,Tropical,Low,4.2,Oct-Mar,35,9.6667,76.5500
158,Munnar,Idukki,Hill Station,Hill Station,Very High,4.8,Sep-May,24,10.0833,77.0667
159,Eravikulam National Park,Idukki,Wildlife,Hill Station,High,4.7,Oct-Mar,23,10.2000,77.0833
160,Idukki Dam,Idukki,Dam,Hill Station,High,4.6,Oct-Mar,28,9.8333,76.9667
161,Mattupetty Dam,Idukki,Dam,Hill Station,High,4.5,Oct-Mar,26,10.1000,77.1167
162,Anamudi,Idukki,Peak,Hill Station,Moderate,4.8,Oct-Mar,22,10.1667,77.0667
163,Thekkady,Idukki,Tourism Hub,Hill Station,High,4.7,Oct-Mar,27,9.6000,77.1667
164,Periyar Wildlife Sanctuary,Idukki,Wildlife,Hill Station,High,4.6,Oct-Mar,26,9.4667,77.2333
165,Vagamon Meadows,Idukki,Hill,Hill Station,High,4.6,Sep-May,29,9.6833,76.9000
166,Ramakkalmedu,Idukki,Hill,Hill Station,Moderate,4.5,Sep-May,28,9.8000,77.2333
167,Kalvari Mount,Idukki,Viewpoint,Hill Station,Moderate,4.5,Oct-Mar,27,9.8500,77.1500
168,Anchuruli Tunnel,Idukki,Scenic,Hill Station,Moderate,4.4,Oct-Mar,26,9.8333,76.9500
169,Cheeyappara Waterfalls,Idukki,Waterfall,Hill Station,High,4.6,Jun-Jan,25,10.0000,77.1333
170,Valara Waterfalls,Idukki,Waterfall,Hill Station,High,4.5,Jun-Jan,25,9.9833,77.1167
171,Chinnar Wildlife Sanctuary,Idukki,Wildlife,Hill Station,Moderate,4.4,Oct-Mar,29,10.3167,77.1667
172,Meesapulimala,Idukki,Peak,Hill Station,Moderate,4.7,Sep-May,23,10.0833,77.2167
173,Top Station,Idukki,Viewpoint,Hill Station,High,4.6,Sep-May,24,10.0500,77.2167
174,Marayoor,Idukki,Heritage,Hill Station,Moderate,4.4,Oct-Mar,28,10.2667,77.1500
175,Thoovanam Waterfalls,Idukki,Waterfall,Hill Station,Moderate,4.4,Jun-Jan,27,9.7833,77.1667
176,Pothamedu Viewpoint,Idukki,Viewpoint,Hill Station,Moderate,4.3,Sep-May,26,10.0667,77.0500
177,Devikulam,Idukki,Hill,Hill Station,Moderate,4.5,Sep-May,25,10.0667,77.1000
178,Ponmudi Dam,Idukki,Dam,Hill Station,Low,4.2,Oct-Mar,27,9.7833,76.9667
179,Kallarkutty Dam,Idukki,Dam,Hill Station,Low,4.2,Oct-Mar,28,9.9833,77.0000
180,Keezharkuthu Falls,Idukki,Waterfall,Hill Station,Moderate,4.3,Jun-Jan,26,9.9167,77.1167
181,Hill View Park Idukki,Idukki,Park,Hill Station,Moderate,4.3,Oct-Mar,29,9.8333,76.9500
182,Kulamavu Dam,Idukki,Dam,Hill Station,Moderate,4.3,Oct-Mar,27,9.8000,76.8833
183,Thommankuthu Waterfalls,Idukki,Waterfall,Hill Station,Moderate,4.4,Jun-Jan,26,9.9333,76.9333
184,Power House Waterfalls,Idukki,Waterfall,Hill Station,Low,4.2,Jun-Jan,25,10.0833,77.0500
185,Kattappana,Idukki,Town,Hill Station,Moderate,4.0,Oct-Mar,30,9.7500,77.1167
186,Rajamala,Idukki,Hill,Hill Station,Moderate,4.4,Oct-Mar,24,10.1833,77.0667
187,Mullaperiyar Dam,Idukki,Dam,Hill Station,Low,4.3,Oct-Mar,25,9.5333,77.1333
188,Kundala Dam,Idukki,Dam,Hill Station,Moderate,4.4,Oct-Mar,24,10.1500,77.0500
189,Fort Kochi,Ernakulam,Heritage,Tropical,High,4.7,Oct-Mar,44,9.9667,76.2333
190,Mattancherry Palace,Ernakulam,Palace,Tropical,High,4.5,Oct-Mar,45,9.9667,76.2500
191,Jew Town,Ernakulam,Heritage,Tropical,High,4.6,Oct-Mar,43,9.9667,76.2500
192,Paradesi Synagogue,Ernakulam,Religious Site,Tropical,High,4.6,Oct-Mar,44,9.9667,76.2500
193,Marine Drive Kochi,Ernakulam,Waterfront,Tropical,High,4.5,Oct-Mar,48,9.9667,76.2833
194,Bolgatty Palace,Ernakulam,Palace,Tropical,Moderate,4.4,Oct-Mar,42,9.9833,76.2667
195,Cherai Beach,Ernakulam,Beach,Tropical,High,4.5,Sep-May,40,10.1333,76.1833
196,Hill Palace Museum,Ernakulam,Museum,Tropical,Moderate,4.4,Oct-Mar,41,9.9333,76.3000
197,Thattekad Bird Sanctuary,Ernakulam,Wildlife,Tropical,Moderate,4.5,Nov-Feb,34,10.1333,76.6833
198,Mangalavanam Bird Sanctuary,Ernakulam,Wildlife,Tropical,Moderate,4.2,Nov-Feb,46,9.9833,76.2667
199,Kodungallur Bhagavathy Temple,Ernakulam,Temple,Tropical,High,4.5,Mar-Apr,44,10.2167,76.2000
200,St Francis Church Kochi,Ernakulam,Church,Tropical,High,4.5,Oct-Mar,45,9.9667,76.2333
201,Santa Cruz Basilica Kochi,Ernakulam,Church,Tropical,High,4.6,Oct-Mar,44,9.9667,76.2500
202,Vypin Island,Ernakulam,Island,Tropical,Moderate,4.3,Oct-Mar,39,10.1167,76.2167
203,Willingdon Island,Ernakulam,Island,Tropical,Moderate,4.2,Oct-Mar,46,9.9500,76.2667
204,Chottanikkara Temple,Ernakulam,Temple,Tropical,High,4.6,Oct-Mar,43,9.9333,76.3833
205,Paniyeli Poru,Ernakulam,Scenic Spot,Tropical,Moderate,4.4,Oct-Mar,37,10.1000,76.5333
206,Bhoothathankettu Dam,Ernakulam,Dam,Tropical,Moderate,4.4,Oct-Mar,35,10.1333,76.6333
207,Periyar River,Ernakulam,River,Tropical,Moderate,4.3,Oct-Mar,38,10.1667,76.5000
208,Kodanad Elephant Training Centre,Ernakulam,Wildlife,Tropical,Moderate,4.3,Oct-Mar,36,10.1833,76.5167
209,Malayattoor Church,Ernakulam,Pilgrim Site,Tropical,High,4.5,Mar-Apr,40,10.2000,76.5167
210,Athirappilly Waterfalls,Ernakulam,Waterfall,Tropical,Very High,4.7,Jun-Jan,33,10.2833,76.5667
211,Cherai Lagoon,Ernakulam,Lagoon,Tropical,Low,4.2,Oct-Mar,38,10.1333,76.1833
212,Munambam Beach,Ernakulam,Beach,Tropical,Moderate,4.2,Sep-May,39,10.1667,76.1667
213,Thrikkakara Temple,Ernakulam,Temple,Tropical,High,4.4,Oct-Mar,47,10.0333,76.3333
214,Pallipuram Fort,Ernakulam,Fort,Tropical,Moderate,4.2,Oct-Mar,40,10.1667,76.1833
215,Aluva Shiva Temple,Ernakulam,Temple,Tropical,High,4.5,Oct-Mar,46,10.1167,76.3500
216,St George Forane Church Edappally,Ernakulam,Church,Tropical,High,4.5,Oct-Mar,48,10.0167,76.3000
217,Subhash Bose Park,Ernakulam,Park,Tropical,Moderate,4.3,Oct-Mar,45,9.9667,76.2833
218,Kadamakkudy Islands,Ernakulam,Islands,Tropical,Low,4.2,Oct-Mar,37,10.0500,76.2167
219,Kumbalangi,Ernakulam,Village,Tropical,Moderate,4.3,Oct-Mar,36,9.8833,76.2833
220,Vadakkunnathan Temple,Thrissur,Temple,Tropical,High,4.7,Oct-Mar,42,10.5167,76.2167
221,Thrissur Zoo,Thrissur,Zoo,Tropical,Moderate,4.2,Oct-Mar,49,10.5167,76.2167
222,Vazhachal Waterfalls,Thrissur,Waterfall,Tropical,High,4.6,Jun-Jan,32,10.2833,76.5833
223,Guruvayur Temple,Thrissur,Temple,Tropical,Very High,4.8,Oct-Mar,41,10.6000,76.0333
224,Chavakkad Beach,Thrissur,Beach,Tropical,Moderate,4.3,Sep-May,40,10.5667,76.0000
225,Snehatheeram Beach,Thrissur,Beach,Tropical,Moderate,4.4,Sep-May,38,10.4333,76.1167
226,Peechi Dam,Thrissur,Dam,Tropical,Moderate,4.4,Oct-Mar,35,10.5167,76.3833
227,Chimmini Wildlife Sanctuary,Thrissur,Wildlife,Tropical,Moderate,4.3,Oct-Mar,34,10.4167,76.4667
228,Shakthan Thampuran Palace,Thrissur,Palace,Tropical,Moderate,4.4,Oct-Mar,45,10.5167,76.2167
229,Kerala Kalamandalam,Thrissur,Cultural,Tropical,Moderate,4.5,Oct-Mar,38,10.7500,76.4333
230,Paramekkavu Bhagavathy Temple,Thrissur,Temple,Tropical,High,4.5,Apr-May,44,10.5167,76.2167
231,Thiruvambady Temple,Thrissur,Temple,Tropical,High,4.5,Apr-May,44,10.5167,76.2167
232,Bible Tower,Thrissur,Landmark,Tropical,Moderate,4.1,Oct-Mar,48,10.5167,76.2167
233,Punnathur Kotta,Thrissur,Wildlife,Tropical,Moderate,4.3,Oct-Mar,39,10.6000,76.0333
234,Vilangan Hills,Thrissur,Hill,Tropical,Moderate,4.3,Sep-May,36,10.5167,76.1667
235,Munakkal Beach,Thrissur,Beach,Tropical,Low,4.2,Sep-May,39,10.3833,76.1500
236,Choolannur Peafowl Sanctuary,Thrissur,Wildlife,Tropical,Low,4.2,Nov-Feb,33,10.6167,76.2000
237,Poomala Dam,Thrissur,Dam,Tropical,Low,4.2,Oct-Mar,34,10.5167,76.2667
238,Kauthuka Park,Thrissur,Park,Tropical,Moderate,4.1,Oct-Mar,40,10.5167,76.2167
239,Chettuva Backwaters,Thrissur,Backwaters,Tropical,Moderate,4.3,Oct-Mar,37,10.5167,76.0333
240,Our Lady of Dolours Basilica,Thrissur,Church,Tropical,High,4.6,Oct-Mar,46,10.5167,76.2167
241,Thumboormuzhi Dam,Thrissur,Dam,Tropical,Moderate,4.3,Oct-Mar,35,10.4667,76.2000
242,Koodalmanikyam Temple,Thrissur,Temple,Tropical,Moderate,4.4,Oct-Mar,41,10.4667,76.2500
